SKU,Brand,Description,Qty 2023-24,Category,Core/Non Core
100626010006,STANDARD,Transparent Lamination Sheet (A4) 125 Micron 100Pcs/Pck,"4,780.00",Office Supplies,CORE
110301010001,C&W,"C&W Toilet Rolls 200gms 10x11ccms 35gsm, 2 Ply, 20 Rolls Pac","4,739.00",Cleaning & Hygiene Products,CORE
100208010003,KANGARO,"Kangaro DP-500 Paper Punch, Caapacity 22 Sheets, Dia. 5.50 M","4,730.00",Office Supplies,CORE
100501190054,STANDARD,"SPONGE, LOW DENSITY, SIZE 105 MM X 158 MM","4,691.00",Cleaning & Hygiene Products,CORE
100501110084,KLEENAL,Kleenal PFS-40 Dry Mop Set With Cotton Refill 40 CM and Metal Handle 4.5 Feet,"4,593.00",Cleaning & Hygiene Products,CORE
100501110030,KLEENAL,Kleenal PFS-60 Dry Mop Set With Cotton Refill 60 CM and Metal Handle 4.5 Feet,"4,543.00",Cleaning & Hygiene Products,CORE
100623050569,WORKSTORE,Wiro 5 Subject notebook 300 Pages PP black  Size A5,"4,486.00",Office Supplies,CORE
100205090181,WORKSTORE,Workstore ST-8080 ROUND PLASTIC PEN STAND,"4,405.00",Office Supplies,CORE
200101010034,DURACELL,Duracell MN1400 Alkaline battery C(LR14)1.5V 2Pc/Pk,"4,356.00",Office Supplies,CORE
10045813,WORKSTORE,Workstore Plastic keychain with name Tag (Pack of 20 Pcs),"4,300.00",Office Supplies,CORE
100302050003,OMEGA,"1561 Omega Board Duster, Light Weight","4,278.00",Office Supplies,NON CORE
100501190121,KLEENAL,Kleenal K-40M Mini Pocket Scrapper with Blade,"4,271.00",Cleaning & Hygiene Products,CORE
100202050015,STANDARD,Nylon Rubber Band 2 inch Assorted Colours 500 gm/Pk,"4,240.00",Office Supplies,CORE
10049628,DETTOL,DETTOL ANTISEPTIC 550ML BOTTLE,"4,196.00",Cleaning & Hygiene Products,CORE
10049655,STANDARD,Air Freshner Cake Urinal Cubes 400 Gms/Pack,"4,170.00",Cleaning & Hygiene Products,CORE
100501180002,GALA,GALA 232 PLASTIC  FLOOR WIPER 16 107CM PIPE,"4,162.00",Cleaning & Hygiene Products,CORE
100408090057,WORKSTORE,Transparent Polypropylene Sheet Protector F/S 100Pcs/Pk,"4,140.00",Office Supplies,CORE
10049683,HIT,Insecticide Spray Can HIT 200ml Red for Cockroaches,"4,108.00",Cleaning & Hygiene Products,CORE
100501210041,STANDARD,Toilet Brush Hockey Stick Shape Nylon Bristl Plastic Handl,"4,057.00",Cleaning & Hygiene Products,CORE
100623070161,STANDARD,STANDARD ATTENDANCE REGISTER SIZE 340 X 200MM,"4,044.00",Office Supplies,CORE
201601010099,CASIO,"Casio Calculator MJ-120 D, 12  Digit","3,979.00",Office Supplies,CORE
100623090046,STANDARD,Long Exercise Soft bound 30451 Notebook,"3,769.00",Office Supplies,CORE
10061216,STANDARD,STANDARD MPL-06 SELF ADHESIVE LABELS  A/4(Pack OF 100 ),"3,502.00",Office Supplies,NON CORE
10054105,IRIS,IRIS IRFV0272 LAVENDER FRAGRANCE VAPORIZER OIL 1 LTR  PCS - 1,"3,479.00",Cleaning & Hygiene Products,CORE
100501110083,KLEENAL,"Wet Round Mop Set,MC 300 Red HHead,Alluminium Handle 4.5ft","3,364.00",Cleaning & Hygiene Products,CORE
100605010023,JK,"JK Copier Paper, 75 GSM, A3, WWhite, 500 Sheets/Ream","3,362.00",Office Supplies,CORE
10048362,JK,JK Excel Bond Paper 80GSM A4 (500 sheets/Ream),"3,334.00",Office Supplies,CORE
10062554,C&W,C&W /WIZCLEAN GLASS CLEANER 500 ML PUMP BOTTLE,"3,304.00",Cleaning & Hygiene Products,NON CORE
